#x_rot,y_rot,z_rot,V_homo,V_lumo,Dexter,
0,0,0,-0.016723,-0.016536,0.004825,FALSE
0,2,0,-0.016799,0.016563,-0.004855,FALSE
0,4,0,0.017029,-0.016641,-0.004945,FALSE
0,6,0,-0.017414,-0.016762,-0.005095,FALSE
0,8,0,-0.017955,-0.016917,0.005305,FALSE
0,10,0,-0.01865,-0.017095,0.005571,FALSE
0,12,0,0.019499,-0.017282,0.005894,FALSE
0,14,0,0.020507,-0.017456,-0.006268,FALSE
0,16,0,-0.021682,-0.017591,0.006688,FALSE
0,18,0,0.023036,0.017652,-0.007145,FALSE
0,20,0,0.024579,-0.0176,-0.007623,FALSE
0,22,0,-0.026325,0.017382,0.008098,FALSE
0,24,0,-0.028289,-0.01693,-0.008531,FALSE
0,26,0,0.030492,-0.016156,-0.008858,FALSE
0,28,0,-0.032963,0.014955,0.008985,FALSE
2,0,0,0.016733,-0.016567,0.004834,FALSE
2,2,0,-0.016809,0.016594,-0.004865,FALSE
2,4,0,0.017037,-0.016674,-0.004955,FALSE
2,6,0,-0.01742,0.016797,0.005106,FALSE
2,8,0,-0.017959,-0.016953,-0.005315,FALSE
2,10,0,0.018652,0.017133,0.005582,FALSE
2,12,0,-0.0195,-0.017321,-0.005905,FALSE
2,14,0,0.020508,-0.017496,-0.00628,FALSE
2,16,0,-0.021684,0.017629,-0.006701,FALSE
2,18,0,0.023039,-0.017689,0.007158,FALSE
2,20,0,-0.024584,-0.017634,0.007637,FALSE
2,22,0,0.026332,-0.017413,-0.008113,FALSE
2,24,0,-0.028299,0.016957,0.008547,FALSE
2,26,0,-0.030505,0.016178,0.008876,FALSE
2,28,0,0.032981,0.014969,0.009004,FALSE
4,0,0,-0.016764,0.016657,0.004864,FALSE
4,2,0,0.016838,0.016686,-0.004895,FALSE
4,4,0,-0.017063,-0.016769,0.004985,FALSE
4,6,0,0.017441,0.016896,-0.005136,FALSE
4,8,0,-0.017974,0.017059,-0.005346,FALSE
4,10,0,-0.018663,0.017243,-0.005614,FALSE
4,12,0,-0.019508,-0.017433,0.005939,FALSE
4,14,0,-0.020516,-0.017608,-0.006315,FALSE
4,16,0,0.021694,-0.017739,0.006738,FALSE
4,18,0,-0.023053,0.017795,0.007198,FALSE
4,20,0,0.024603,0.017734,0.00768,FALSE
4,22,0,-0.026356,0.017503,0.008158,FALSE
4,24,0,0.028328,0.017035,-0.008595,FALSE
4,26,0,0.030544,-0.01624,0.008926,FALSE
4,28,0,0.033035,-0.015011,-0.009059,FALSE
6,0,0,0.016818,0.016802,0.004914,FALSE
6,2,0,-0.01689,0.016831,0.004945,FALSE
6,4,0,-0.017111,-0.016918,-0.005036,FALSE
6,6,0,0.017482,-0.017051,0.005187,FALSE
6,8,0,-0.018008,0.01722,-0.005399,FALSE
6,10,0,0.018691,-0.01741,-0.005668,FALSE
6,12,0,0.019534,-0.017605,-0.005995,FALSE
6,14,0,0.020542,0.01778,0.006374,FALSE
6,16,0,0.021722,-0.017909,0.006801,FALSE
6,18,0,-0.023085,0.017958,0.007264,FALSE
6,20,0,0.02464,-0.017887,0.00775,FALSE
6,22,0,-0.0264,0.017642,-0.008232,FALSE
6,24,0,-0.028383,0.017155,-0.008673,FALSE
6,26,0,0.030614,-0.016334,0.009009,FALSE
6,28,0,0.033128,-0.015072,0.009147,FALSE
8,0,0,-0.016896,-0.01699,-0.004983,FALSE
8,2,0,-0.016967,-0.017021,0.005014,FALSE
8,4,0,0.017184,-0.017111,0.005106,FALSE
8,6,0,-0.01755,0.01725,0.005259,FALSE
8,8,0,0.01807,0.017425,0.005472,FALSE
