#x, #y, #z, #V1, #V2
00,00,30,-0.0355657,-0.0345771
00,01,30,-0.0353949,-0.0344686
00,02,30,0.0348747,0.0341416
00,03,30,-0.0339910,0.0335924
00,04,30,0.0327392,0.0328193
00,05,30,0.0311289,-0.0318282
00,06,30,-0.0291798,-0.0306353
00,07,30,-0.0269150,-0.0292722
00,08,30,0.0243662,0.0277809
00,09,30,0.0215848,0.0262009
00,10,30,-0.0186331,0.0245681
00,11,30,-0.0155763,-0.0229194
00,12,30,-0.0124802,-0.0212913
00,13,30,0.0094068,0.0197187
00,14,30,0.0064089,-0.0182337
00,15,30,-0.0035320,-0.0168620
00,16,30,-0.0008094,-0.0156165
00,17,30,-0.0017476,-0.0144995
00,18,30,-0.0041403,0.0135111
00,19,30,0.0063602,0.0126537
00,20,30,-0.0083819,-0.0119358
00,21,30,-0.0101776,0.0113585
00,22,30,-0.0117344,0.0109068
00,23,30,-0.0130517,-0.0105596
00,24,30,0.0141290,0.0103015
00,25,30,0.0149650,-0.0101195
00,26,30,-0.0155670,-0.0099955
00,27,30,0.0159504,0.0099076
00,28,30,0.0161297,-0.0098385
00,29,30,-0.0161193,0.0097738
00,30,30,0.0159392,-0.0096969
00,31,30,-0.0156145,-0.0095913
00,32,30,-0.0151705,0.0094452
00,33,30,-0.0146260,0.0092555
00,34,30,0.0139945,0.0090253
00,35,30,0.0132899,0.0087589
00,36,30,-0.0125328,0.0084572
00,37,30,0.0117488,-0.0081173
00,38,30,0.0109556,-0.0077422
00,39,30,-0.0101618,-0.0073411
00,40,30,-0.0093785,0.0069205
01,00,30,-0.0355189,0.0342972
01,01,30,0.0353463,0.0341861
01,02,30,-0.0348220,0.0338527
01,03,30,0.0339346,0.0332960
01,04,30,-0.0326803,-0.0325172
01,05,30,-0.0310687,0.0315237
01,06,30,0.0291201,0.0303320
01,07,30,-0.0268588,-0.0289727
01,08,30,-0.0243182,0.0274859
01,09,30,0.0215483,-0.0259111
