#x_trans,y_trans,z_trans,V_Dexter
0,0,30,   -0.4615572
0,1,30,    0.4743743
0,2,30,    0.4707106
0,3,30,    0.0568420
0,4,30,   -0.4797663
0,5,30,   -0.3821089
0,6,30,   -0.3488826
0,7,30,    0.3119857
0,8,30,   -0.2724409
0,9,30,   -0.2313621
0,10,30,   -0.1898839
0,11,30,   -0.1491304
0,12,30,    0.1101865
0,13,30,   -0.0740467
0,14,30,    0.0415309
0,15,30,    0.0132066
0,16,30,   -0.0106569
0,17,30,    0.0301001
0,18,30,    0.0454385
0,19,30,    0.0571776
0,20,30,    0.0659381
0,21,30,   -0.0723546
0,22,30,    0.0770056
0,23,30,   -0.0803600
0,24,30,   -0.0827544
0,25,30,    0.0843991
0,26,30,    0.0853928
0,27,30,    0.0857492
0,28,30,   -0.0854336
0,29,30,    0.0843970
0,30,30,    0.0826101
0,31,30,    0.0800663
0,32,30,    0.0767887
0,33,30,    0.0728352
0,34,30,   -0.0683044
0,35,30,   -0.0633254
0,36,30,    0.0580367
0,37,30,   -0.0525736
0,38,30,    0.0470731
0,39,30,    0.0416837
0,40,30,    0.0365262
1,0,30,    0.4602421
1,1,30,    0.4567850
1,2,30,   -0.4464009
1,3,30,   -0.4294361
1,4,30,    0.4064002
1,5,30,    0.3779695
1,6,30,   -0.3449947
1,7,30,    0.3083852
1,8,30,    0.2691642
1,9,30,    0.2284680
1,10,30,   -0.1874354
1,11,30,    0.1471833
1,12,30,    0.1087763
1,13,30,    0.0731708
1,14,30,    0.0411419
1,15,30,   -0.0132114
1,16,30,    0.0103259
1,17,30,   -0.0294455
1,18,30,   -0.0445627
1,19,30,   -0.0561286
1,20,30,    0.0646964
1,21,30,   -0.0709482
1,22,30,   -0.0754735
1,23,30,    0.0787388
1,24,30,   -0.0810770
1,25,30,   -0.0826941
1,26,30,    0.0836856
1,27,30,   -0.0840632
1,28,30,   -0.0837905
1,29,30,    0.0828162
1,30,30,    0.0811080
1,31,30,   -0.0786552
1,32,30,    0.0754767
1,33,30,   -0.0716264
1,34,30,    0.0672011
1,35,30,    0.0623282
1,36,30,   -0.0571448
1,37,30,    0.0517845
1,38,30,   -0.0463833
1,39,30,   -0.0410879
1,40,30,   -0.0360171
2,0,30,   -0.4460935
2,1,30,    0.4426722
2,2,30,   -0.4324736
2,3,30,   -0.4158844
2,4,30,   -0.3933832
2,5,30,    0.3656306
2,6,30,    0.3334754
2,7,30,   -0.2978167
2,8,30,   -0.2596804
2,9,30,   -0.2202127
2,10,30,    0.1805352
2,11,30,   -0.1417141
2,12,30,    0.1047416
2,13,30,    0.0705016
2,14,30,   -0.0397359
2,15,30,   -0.0130227
2,16,30,    0.0093933
2,17,30,    0.0275458
2,18,30,   -0.0417590
2,19,30,    0.0526378
2,20,30,    0.0607246
2,21,30,    0.0665837
