#x, #y, #z, #V1, #V2
000,000,000,-0.0000940,0.0001341
000,005,000,-0.0000944,0.0001884
000,010,000,0.0000948,-0.0002085
000,015,000,0.0000995,-0.0002164
000,020,000,-0.0001036,0.0002168
000,025,000,0.0000863,0.0002048
000,030,000,-0.0007106,-0.0001681
000,035,000,0.0008454,0.0000950
000,040,000,0.0006881,-0.0000227
000,045,000,0.0009236,-0.0001850
000,050,000,-0.0016247,-0.0004267
000,055,000,0.0022535,0.0008620
000,060,000,0.0027210,0.0014159
000,065,000,0.0030811,-0.0016081
000,070,000,-0.0030307,0.0014935
000,075,000,0.0,0.0
000,080,000,-0.0032489,0.0021323
000,085,000,0.0032975,-0.0027121
000,090,000,-0.0033195,-0.0028592
005,000,000,0.0000961,-0.0000688
005,005,000,0.0000966,-0.0001588
005,010,000,0.0000881,0.0002097
005,015,000,-0.0000141,0.0002192
005,020,000,-0.0000017,0.0002194
005,025,000,-0.0002515,0.0002052
005,030,000,0.0007251,0.0001674
005,035,000,-0.0008889,0.0000939
005,040,000,0.0007719,0.0000241
005,045,000,-0.0009923,0.0001865
005,050,000,0.0016748,0.0004309
005,055,000,-0.0022924,-0.0008912
005,060,000,0.0027408,-0.0014644
005,065,000,0.0031278,-0.0017153
005,070,000,0.0031255,-0.0017107
005,075,000,0.0032224,-0.0010396
005,080,000,0.0032741,0.0021575
005,085,000,-0.0032675,0.0026416
005,090,000,0.0032510,0.0027717
010,000,000,-0.0000984,-0.0003449
010,005,000,-0.0000988,-0.0000834
010,010,000,0.0000595,0.0002121
010,015,000,0.0006164,0.0002213
010,020,000,-0.0006900,0.0002209
010,025,000,0.0006586,0.0002054
010,030,000,0.0008439,0.0001661
010,035,000,0.0009767,-0.0000909
010,040,000,0.0008535,-0.0000286
010,045,000,-0.0010173,0.0001901
010,050,000,-0.0017191,-0.0004361
010,055,000,-0.0023594,-0.0009424
010,060,000,0.0027969,-0.0015593
010,065,000,-0.0032319,0.0019222
010,070,000,0.0032979,-0.0020856
010,075,000,0.0033756,-0.0015881
010,080,000,-0.0033160,-0.0021745
010,085,000,0.0032222,-0.0025041
010,090,000,0.0031806,0.0026193
015,000,000,-0.0000979,0.0000653
015,005,000,-0.0000986,0.0001646
015,010,000,0.0000809,-0.0002120
015,015,000,0.0006529,0.0002210
015,020,000,-0.0010074,-0.0002205
015,025,000,-0.0010617,-0.0002056
015,030,000,0.0010378,0.0001640
015,035,000,0.0010029,-0.0000853
015,040,000,-0.0007764,0.0000353
015,045,000,-0.0008895,-0.0001941
015,050,000,-0.0016660,0.0004320
015,055,000,-0.0023815,0.0009413
015,060,000,-0.0028729,-0.0016296
015,065,000,0.0033451,0.0020770
015,070,000,-0.0033889,0.0022267
015,075,000,0.0034196,0.0016475
015,080,000,-0.0033313,0.0021301
015,085,000,0.0032690,-0.0025175
015,090,000,0.0032592,0.0026902
020,000,000,-0.0001038,0.0002073
020,005,000,0.0000846,0.0002046
020,010,000,0.0001024,-0.0001973
020,015,000,-0.0000527,0.0002166
020,020,000,0.0010162,-0.0002177
020,025,000,0.0013540,0.0002066
020,030,000,0.0012862,-0.0001620
020,035,000,-0.0010401,-0.0000775
020,040,000,-0.0006456,0.0000430
020,045,000,-0.0007159,-0.0001964
020,050,000,-0.0015960,0.0004226
020,055,000,0.0024115,0.0009435
020,060,000,-0.0030152,-0.0018232
020,065,000,0.0033040,-0.0022035
020,070,000,0.0033583,-0.0020405
020,075,000,-0.0033021,0.0009954
020,080,000,0.0033006,0.0019655
020,085,000,-0.0034200,0.0027050
020,090,000,-0.0034956,-0.0030046
025,000,000,0.0009362,-0.0002110
025,005,000,-0.0003391,-0.0002100
025,010,000,-0.0001034,-0.0001678
025,015,000,-0.0001053,0.0001971
025,020,000,0.0008070,-0.0002113
025,025,000,0.0015105,-0.0002061
025,030,000,-0.0015856,-0.0001653
025,035,000,0.0012636,0.0000692
025,040,000,0.0005731,-0.0000521
025,045,000,0.0004517,-0.0001972
025,050,000,-0.0016032,-0.0004185
