#x_rot,y_rot,z_rot,V_homo,V_lumo
0,0,0,-0.016723,-0.016536
0,2,0,-0.016799,0.016563
0,4,0,0.017029,-0.016641
0,6,0,-0.017414,-0.016762
0,8,0,-0.017955,-0.016917
0,10,0,-0.018650,-0.017095
0,12,0,0.019499,-0.017282
0,14,0,0.020507,-0.017456
0,16,0,-0.021682,-0.017591
0,18,0,0.023036,0.017652
0,20,0,0.024579,-0.017600
0,22,0,-0.026325,0.017382
0,24,0,-0.028289,-0.016930
0,26,0,0.030492,-0.016156
0,28,0,-0.032963,0.014955
0,30,0,0.035740,-0.013201
0,32,0,-0.038877,-0.010761
0,34,0,-0.042462,-0.007507
0,36,0,0.046610,-0.003354
0,38,0,-0.051373,0.001779
0,40,0,-0.056679,0.008707
0,42,0,0.062104,-0.018811
0,44,0,0.066618,0.032674
0,46,0,0.068932,-0.049712
0,48,0,0.000000,-0.066786
0,50,0,-0.000000,0.080003
0,52,0,-0.000000,-0.087975
0,54,0,0.091971,-0.080992
0,56,0,-0.091382,-0.061856
0,58,0,-0.102932,0.079269
0,60,0,0.100728,-0.059183
0,62,0,-0.095334,-0.040309
0,64,0,0.000000,0.000000
0,66,0,0.074069,0.000000
0,68,0,-0.058338,-0.000000
0,70,0,0.000714,0.014212
0,72,0,-0.000000,-0.066602
0,74,0,0.000000,0.000000
0,76,0,0.000000,0.000000
0,78,0,-0.024323,0.068384
0,80,0,-0.065919,0.063821
0,82,0,0.000000,0.000000
0,84,0,-0.132080,-0.001737
0,86,0,-0.118670,-0.000067
0,88,0,-0.087535,-0.003011
0,90,0,0.000000,0.000000
2,0,0,0.016733,-0.016567
2,2,0,-0.016809,0.016594
2,4,0,0.017037,-0.016674
2,6,0,-0.017420,0.016797
2,8,0,-0.017959,-0.016953
2,10,0,0.018652,0.017133
2,12,0,-0.019500,-0.017321
2,14,0,0.020508,-0.017496
2,16,0,-0.021684,0.017629
2,18,0,0.023039,-0.017689
2,20,0,-0.024584,-0.017634
2,22,0,0.026332,-0.017413
2,24,0,-0.028299,0.016957
2,26,0,-0.030505,0.016178
2,28,0,0.032981,0.014969
2,30,0,-0.035765,-0.013207
2,32,0,-0.038917,-0.010756
2,34,0,-0.042529,-0.007487
2,36,0,-0.046727,0.003320
2,38,0,0.051554,-0.001791
2,40,0,-0.056349,-0.008611
2,42,0,-0.056018,-0.018983
2,44,0,-0.049090,0.033903
2,46,0,0.037134,-0.051940
2,48,0,0.023639,-0.069019
2,50,0,-0.020688,0.082120
2,52,0,-0.038287,0.088292
2,54,0,-0.064796,0.078246
2,56,0,-0.088881,-0.060050
2,58,0,0.096078,0.077707
2,60,0,0.093640,0.045653
2,62,0,-0.089216,-0.005749
2,64,0,0.000000,0.000000
2,66,0,0.000000,0.000000
2,68,0,-0.033161,-0.003661
2,70,0,-0.002259,-0.005946
2,72,0,-0.053121,0.009812
2,74,0,0.000000,0.000000
2,76,0,0.095591,-0.017235
2,78,0,-0.086702,0.021867
2,80,0,0.000000,0.000000
2,82,0,0.050762,0.021144
2,84,0,0.071936,-0.011528
2,86,0,0.000000,0.000000
2,88,0,-0.086099,0.002628
2,90,0,-0.000000,0.000000
4,0,0,-0.016764,0.016657
4,2,0,0.016838,0.016686
4,4,0,-0.017063,-0.016769
4,6,0,0.017441,0.016896
4,8,0,-0.017974,0.017059
4,10,0,-0.018663,0.017243
4,12,0,-0.019508,-0.017433
4,14,0,-0.020516,-0.017608
4,16,0,0.021694,-0.017739
4,18,0,-0.023053,0.017795
4,20,0,0.024603,0.017734
4,22,0,-0.026356,0.017503
4,24,0,0.028328,0.017035
4,26,0,0.030544,-0.016240
4,28,0,0.033035,-0.015011
4,30,0,0.035843,0.013222
4,32,0,0.039038,0.010738
4,34,0,-0.042732,-0.007431
4,36,0,-0.047081,0.003234
4,38,0,-0.052091,0.001845
4,40,0,-0.056199,0.008664
4,42,0,0.056331,-0.019341
4,44,0,-0.053288,0.034183
4,46,0,0.045921,-0.051637
4,48,0,0.037139,0.068183
4,50,0,-0.035727,0.080927
4,52,0,-0.048620,0.085702
4,54,0,0.075014,0.083117
4,56,0,-0.086741,-0.055641
4,58,0,-0.083342,0.068711
4,60,0,0.086394,0.037275
4,62,0,0.079442,0.010972
4,64,0,-0.067364,-0.001250
4,66,0,0.049045,0.000348
4,68,0,-0.024286,-0.026271
4,70,0,-0.001501,0.037954
4,72,0,0.046678,0.010564
4,74,0,0.000000,0.000000
4,76,0,0.000000,0.000000
4,78,0,-0.036809,0.028411
4,80,0,-0.041421,-0.031304
4,82,0,0.043900,-0.030095
4,84,0,0.067620,-0.005043
4,86,0,-0.114909,-0.003855
4,88,0,0.082133,0.001868
4,90,0,0.000000,-0.000000
6,0,0,0.016818,0.016802
6,2,0,-0.016890,0.016831
6,4,0,-0.017111,-0.016918
6,6,0,0.017482,-0.017051
6,8,0,-0.018008,0.017220
6,10,0,0.018691,-0.017410
6,12,0,0.019534,-0.017605
6,14,0,0.020542,0.017780
6,16,0,0.021722,-0.017909
6,18,0,-0.023085,0.017958
6,20,0,0.024640,-0.017887
6,22,0,-0.026400,0.017642
6,24,0,-0.028383,0.017155
6,26,0,0.030614,-0.016334
6,28,0,0.033128,-0.015072
6,30,0,0.035977,0.013242
6,32,0,0.039246,0.010706
6,34,0,0.043078,0.007344
6,36,0,0.047673,0.003107
6,38,0,0.052982,-0.001959
6,40,0,0.057047,0.008957
6,42,0,-0.058791,-0.019960
6,44,0,0.058357,-0.034745
6,46,0,0.053566,-0.051497
6,48,0,0.046749,-0.067031
6,50,0,-0.046251,0.079038
6,52,0,0.054788,0.082158
6,54,0,0.000000,0.000000
6,56,0,-0.085251,-0.050307
6,58,0,-0.077497,0.069174
6,60,0,-0.079720,-0.032277
6,62,0,-0.071110,0.008368
6,64,0,0.056920,0.001146
6,66,0,0.039697,-0.002042
6,68,0,0.018864,-0.022875
6,70,0,0.003178,0.033372
6,72,0,0.000000,0.000000
6,74,0,0.000000,0.000000
6,76,0,-0.050240,0.003864
6,78,0,0.053066,-0.000725
6,80,0,-0.053449,-0.001751
6,82,0,-0.056677,-0.002970
6,84,0,0.098214,-0.021690
6,86,0,-0.110636,0.003810
6,88,0,0.047256,-0.002629
6,90,0,-0.000000,-0.000000
8,0,0,-0.016896,-0.016990
8,2,0,-0.016967,-0.017021
